FUN_FACTS,LOCATIONS
,Berry Street between 3rd and 4th Streets
,Kearny Street between Broadway and Pacific Avenue
,731 Grant Avenue
,Waverly Alley between Grant and Sacramento Streets
,Joice Street at Clay Street
,Palace of Fine Arts (3301 Lyon Street)
,800 Bay Street
,1201 Columbus Avenue
The famous Musee Mecanique is located on Pier 45,Pier 45
,369 Embarcadero
,Dolores Park
,24th Street between Folsom and Harrison Streets
,13 Lucky Street
,1541 Grove Street
"Ida B. Wells High School is named after the African-American journalist, suffragist and early leader in the Civil Rights Movement Ida B. Wells",Ida B. Wells High School (1099 Hayes Street)
,Alamo Square Park
,50 California Street
,373 Columbus Avenue
,350 Union Street
,Potrero Hill Recreation Center (801 Arkansas Street)
,1243 19th Street
,372/374 Pennsylvania Avenue
,Stevenson Alley
,901 Missouri Street
,83 Watchman Way
,1059 Texas Street
,Sue Bierman Park
,Embarcadero Street at Washington Street
,Treasure Island
,Pier 50
,435 Broadway
,Columbus Avenue between Washington and Bay Streets
,Grant Avenue between Clay and Washington Streets
,1400 16th Street
,Pennsylvania Avenue at 19th Street
,Harriet Street between Bryant and Brannan Streets
,Boardman Place between Bryant and Brannan Streets
,Golden Gate Park
,Civic Center Plaza
,500 Grove Street
,600 Octavia Street
,535 Octavia Street
,Patricia's Green
,Ivy Street between Laguna and Gough Streets
,Linden Alley between Octavia and Gough Streets
,Hall of Justice (850 Bryant Street)
,Harriet Alley
,Howard Street at Steuart Street
,Red's Java House (Pier 30)
,887 De Haro Street
,Pier 96
,2633 Vallejo Street
,Embarcadero from Broadway to Folsom
,California St from Taylor to Powell
,Mason St from Pine to Sacramento
,Powell St. from Geary to Sacramento
The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.,"Postcard Row (Alamo Square, Hayes Valley)"
,
,
,The Malloch Apartment Building (1360 Montgomery Street)
,Wasteland Store (1600 Haight Street)
,Star's Café (55 Golden Gate Avenue at Van Ness)
"Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials.","St. Peter & Paul's Church (666 Filbert Street, Washington Square)"
SF General Hospital is the only Level I Trauma Center serving San Francisco and northern San Mateo County.,"San Francisco General Hospital Medical Center (1001 Potrero Avenue, Po"
,Pierce Street between Pacific & Green Streets
,Montgomery & Vallejo Streets
,Marathon Plaza (303 2nd Street)
,Jones Street at Bush
,Jack Kerouac Alley between Columbus & Grant Streets
Chrissy Field was originally an airfield for the Presidio Army Base.,Chrissy Field
,Belli Building (722 Montgomery Street at Washington)
,Alamo Square
,60 Spear Street
,"101 Henry Adams Place, 4th Floor"
,Albert S. Samuels Clock (856 Market Street between Powell and Stockton
,Belgravia Apartments (795 Sutter Street at Jones)
,
,Bay Bridge
,Sacramento & Montgomery Streets
,2017 23rd Street
,Filbert & Leavenworth Streets
,Texas & 19th Streets (Potrero Hill)
,Financial District
"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",Chinatown
,"Spreckels Mansion (2080 Washington Street, Pacific Heights)"
"The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.",Coit Tower
"The Barbary Coast was a red-light district that was largely destroyed in the 1906 earthquake. Though some of the establishments were rebuilt after the earthquake, an anti-vice campaign put the establishments out of business.",Barbary Coast
,
,Filbert from Hyde to Leavenworth
,Columbus and Green
,Larkin & Fulton
,Embarcadero & Market
"An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.",Treasure Island
"The hotel was destroyed in the 1906 earthquake and fire, had to be rebuilt, and was reopened in 1909.",Sheraton Palace Hotel (639 Market Street)
"In 1776, Spain made the Presidio a fortified area. The area was then given to Mexico, but then given to the US in 1848. The 1994 demilitarization of the area in 1994 marked the end of its 219 years of military use.",Presidio (Golden Gate National Recreation Area)
"The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.",Bank of America (38th Street at Balboa Street)
The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.,"Postcard Row (Alamo Square, Hayes Valley)"
"The Japanese Hagiwara family invented ""Chinese"" fortune cookies in the tea-garden","Japanese Tea Garden, Hagiwara Tea Garden Drive, Golden Gate Park"
"In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.","Fairmont Hotel (950 Mason Street, Nob Hill)"
,Pier 43 1/2
,Cala Foods (California Street and Hyde)
,307 Filbert Street
,2417 Franklin Street
"Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confederate general learned that the war had ended while end route to SF.","Fort Point (Presidio, Golden Gate National Recreation Area)"
"An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.",Treasure Island
"The Conservatory, unveiled in 1879, is the oldest public conservatory in the Western Hemisphere.",Conservatory of Flowers (Golden Gate Park)
,Balboa at 22nd Avenue
The theater closed in 1985.,"The Music Concourse (Martin Luther King, Jr. Drive, Golden Gate Park)"
,Surf Theater (4520 Irving Street)
,Hyde Street Cable Car
"Located at one end of Fisherman's Wharf, Aquatic Park was built as part of FDR's Works Progress Administration Project.",Aquatic Park (Jefferson Street)
,15-17 Fresno Street
Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.,Grace Cathedral Episcopal Church (1100 California Street)
,2700 Vallejo Street (Pacific Heights)
"Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confederate general learned that the war had ended while end route to SF.","Fort Point (Presidio, Golden Gate National Recreation Area)"
Alcatraz Island was a military fort before it became a prison.,Alcatraz Island
,
,
"Pushing Dead won the Audience Award for  Frameline San Francisco International LGBTQ Film Festival 
2016","Blind Cat, 3050 24th Street, San Francisco"
,"Cordova Market, 301 Rolph Street, San Francisco"
,"915 Naples, San Francisco"
,"Infield Batting Cages, 1888 Clement Street"
,42 Walter Street
,Church Street MUNI Station
,"Double Happiness Health, 3380 20th Street"
,"Ele Nino Traiing Cetner, 2920 3rd Street"
,"Matching Half Café, 1799 McAllister Street"
,"433 Baker Street,"
,1069 Tennessee Street
,2930 3rd Street
,Hayes Street between Ashbury and Shrader
,"Mission Neibhrohood Health Cetner, 240 Shotweel Street"
,Octavia at Grove Street
,Koshland Park
,"Daniel's Pharmacy, 943 Geneva Ave"
,5th Ave @ Fulton Street in Golden Gate Park
,"Uva Enoteca, 568 Haight Street"
,Turk Street between Steiner and Scott Streets
,Pacific Stock Exchange
,1536 Noe St.
,24 Hill St.
,21st St & Sanchez
,4015 21st St
,Tank Hill Park
,Clement St. from 6th to 7th Ave.
,Wine Impression
,Clement St. from 5th and 7th Ave.
,Claire Lilienthal Elementary School
,Yerba Buena Gardens
,Tonga Room
,Cal-Mart Supermarket
,McLaren Lodge
,Bechelli's Flower Market Café
,923 Vermont St.
,Geary from 22nd Ave to Arguello
,
"Constructed in 1864 as a coastal defense site, Fort Mason went on to serve as an army post for more than 100 years.","Magic Theater (Fort Mason, Golden Gate National Recreation Area)"
,York & 24th St.
,2nd St & Howard
,Montgomery & Market Streets
,Broadway & Taylor
,Mason & Sacramento St
,Geary & 27th Ave
,Geary & 20th Ave
,Pioneer Park at Coit Tower
,Vallejo Street Garage
,California & Davis St
,Golden Gate Ave & Jones
"An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.",Treasure Island
,
"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",Chinatown
,Embarcadero Street
,2nd St. at Townsend St.
,Jefferson St. at Powell St.
Characters walk down street and it's totally wrecked from a massive earthquake,Grant St. at Bush St.
,Vallejo Garage Roof (Vallejo at Powell)
3 characters walk down the street. An earthquake shakes the city and stuff starts breaking. One character gets a shard of glass stuck in his leg.,Clay St. at Taylor
,Bay St. at Polk
,Intersection of Lombard and Hyde
,Mission between 3rd and 4th St.
Characters walk out of broken window of 555 California out to Kearny St. Splinter unit films a car driving into the garage at 555 California,555 California
,Broadway and Kearney
,Grant between Bush and Market
,Coit Tower
,TransAmerica Pyramid (600 Montgomery Street)
,Washington Square
,Battery Spencer
Bystanders watch as a tsunami crashes over them,Pier 43
Characters watch from roof of garage as tsunami hits SF waterfront,"Vallejo St. Garage, 766 Vallejo St."
,Fort Baker
"3 characters run out of stadium, there is a group of people on the sidewalk, an earthquake hits, and they duck for cover",AT&T Stadium
two paragliders land on the field of AT&T Park,AT&T Stadium
Characters drive in a high speed picture boat to see different views of the city.,Water work in SF Bay
,"Stage Work, 47 Julian St."
"Characters walk to get a vantage point for Coit tower. 250 actors walking ""fleeing"" the city after earthquake",Hyde St. at Greenwich and Hyde St. at Lombard
Characters look for a form of communication with LA in a post-quake trashed city,"Asia Star Fantasy, 1126 Grant Ave."
"The Barbary Coast was a red-light district that was largely destroyed in the 1906 earthquake. Though some of the establishments were rebuilt after the earthquake, an anti-vice campaign put the establishments out of business.",The Barbary Coast
"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",City Hall
"From 1910-1920 the Castro was called ""Little Scandinavia"" because of its high concentration of residents of Scandinavian ancestry.",The Castro
"Re-enactment of ""Dyke's on Bikes"" and ""Dyke March""",18th Street between Guerrero and Valencia Streets
Dialogue scene inside the café,"Atlas Café, 3049 20th St."
Ladies discuss their relationship in the mural alley,Clarion Alley between Valencia & Mission St.
Driving shots,Harrison & 20th
Driving shots,Folsom
Driving shots,16th St.
Driving shots,S. Van Ness
Driving shots,22nd St.
Driving shots,Harrison
Driving shots,20th
"Filming of the ""Fresh Meat"" Festival",Z Space Studios; 450 Florida St.
Chase sequence on bicycles ends at gas station,375 Castro St. and 17th between Castro and Diamond St.
"Bicycle chase scene, actors dressed as fake officers present",Corbett St.
Bicycle chase scene,Romain St.
Bicycle chase scene,Market St. overpass
Bicycle chase scene,Grand View Ave.
dialogue scene on top of a garage roof,Vallejo Street Garage; 766 Vallejo St.
dialogue scene,Laguna Honda Hospital; 375 Laguna Honda Blvd.
continuous driving shots of a taxi going with the flow of existing traffic,Irving St. at 9th Ave.
"group of friends have a heated argument, then flashback of pre-argument","Dolores Park, 20th St. between Church & Dolores St."
"Filming of ""Dyke's on Bikes"" and ""Dyke March""",Palace of Fine Arts: 3306 Lyon St.
A couple reminisces on the moment they first fell in love,Van Ness and 12th St.
"Overnight scene involving aggressive arguments between actors, spfx shoot out involved","""Metzger's Apt"" 151 Alice B. Toklas Pl."
"In the 1940's, the house became a 14-unit apartment building that housed jazz musicians including John Handy. This location serves as the hideout for the San Francisco-based character Nomi.","Westerfeld House, 1198 Fulton St."
,67-69 Deming St.
"The mural painted outside the building was painted by 7 women artists including Juana Alicia, Miranda Bergman and Meera Desai. The computer lab scene was filmed inside the building.","The Women's Building, 3543 18th St."
"An extremely popular location for weddings, the namesake of the ballroom was an architect most famous for her work on Hearst Castle.","Julia Morgan Ballroom at the Merchant's Exchange Building, 465 Califor"
,"Marina Morrison Bridal, 30 Maiden Ln."
"Martin Luther King, Jr. gave a sermon at the cathedral to celebrate the completion and consecration of the church in 1964.","Grace Cathedral, 1100 California St."
"Many films have shot scene in and around the building including Raiders of the Lost Ark, Invasion of the Body Snatchers, Dirty Harry, The Towering Inferno, A View to a Kill and most recently, Milk. The Christmas party scene for this show was shot in the Rotunda.","San Francisco City Hall, 1 Dr. Carlton B. Goodlett Pl."
Howl and Other Poems by Allen Ginsberg was published in 1956 by City Lights after poet and founder Laurence Ferlinghetti heard Ginsberg read it in 1955.,"City Lights Bookstore, 261 Columbus Ave."
This park was the location of a popular swing with great views of the City.,"Billy Goat Hill, Castro St. & 30th St."
The theater has an organ which is played before every film showing.,"The Castro Theater, 429 Castro St."
,Mission Creek Harbor along Channel St.
,Grant between Sacramento and Jack Kerouac Alley
,Castle between Union and Green
,Green between Kearny and Montgomery
,Montgomery between Green and Broadway
,Washington between Stockton and Kearny
,Spofford between Washington and Clay
,Clay between Stockton and Grant
,Filbert between Hyde and Jones
,
"Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.",Ferry Building
"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Golden Gate Bridge
"Before opening in 1936, the bridge was blessed by Cardinal Secretary of State Eugenio Pacelli, who later became Pope Pius XII.",Bay Bridge
,"Caifornia, Mason, Powell, Joice St and Stockton"
,Stockton and Bush
,Stockton Tunnel
,"Bush between Jones and Powell, Mason between Pine and Sutter"
,"Lombard, Hyde and Filbert"
,Larkin between Beach and Bay
,Jones between Post and California
,"Bush between Hyde and Kearny, Sutter between Hyde and Kearny"
,Post between Van Ness and Kearny
,Jones between Pine and O'Farrell
,Clement between 7th and 9th Avenue
,Noe between Alvarado and Liberty
,"Fairmont Hotel, 950 Mason"
,
,Oasis Nightclub - 298 11th St
,Burns Pl. Alley at 11th St
,1814 32nd Ave
,2 Mint Plaza
,1090 Eddy St
,Don Ramon's Restaurant - 225 11th St
,57 Taylor St
,Cargo Way at Jenning St
,2644 Mission St
,Bush at Grant Ave
,Montgomery at Green St
,Green at Jones St
,La Ferrera Terrace at Kearny St
,Haight at Ashbury St
,Gerke Alley at Grant
,Leavenworth at Greenwich St
,Geary Blvd at Gough St
,Steiner St and Hayes St
,Castro btwn Market and 18th St
,17th and Capp St
"In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.","Fairmont Hotel (950 Mason Street, Nob Hill)"
,Moscone Center Parking Garage/3rd St.
,Howard St between 3rd and 4th St.
,"St. Paul's Church (Church Street, Noe Valley)"
"Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials.","St. Peter & Paul's Church (666 Filbert Street, Washington Square)"
,"Maritime Museum, Building 201 (Fort Mason)"
"The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.",Coit Tower
,CCSF Alemany Campus
"The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.","Carnelian Room, Bank of America Building (555 California Street, 53rd "
,Manor West (750 Harrison St.)
,475 Diamond St.
,Hyatt Hotel (555 North Point St.)
,"Fairmont Hotel (950 Mason Street, Nob Hill)"
,411 Shrader St.
,883 42nd Ave.
,Mason & Sacramento St
,Unitarian Church (1187 Franklin St.)
,"Huntington Park (California & Taylor Streets, Nob Hill)"
,E Tutto Qua Restaurant (270 Columbus St.)
,1328 Portola
,Clay St. at Sansome
,Montgomery Street at Post Street
,333 Pacheco St at Lopez Ave.
,Mission Inn (5630 Mission St)
,87 Cervantes Blvd (beach)
,Gaspare's Pizza House (5546 Geary Blvd.)
,510 Noe Street & 18th St.
,Europa Café (4318 California St. and 5th Ave.)
,New Taraval Café (1054 Taraval St.)
,Kansas St at 17th St.
,City Hall
,Ocean Beach Motel (2690 46th Ave.)
,Greenwich St at Battery St
,2100 Pacific Ave at Laguna St
,The Embarcadero
,Hills Brothers Plaza (The Embarcadero at Harrison)
Jack Kerouac was a regular at the café.,Vesuvio Café (255 Columbus Avenue)
,Swedenborgian Church (2107 Lyon Street)
,St. John's Presbyterian Church (25 Lake Street)
The paper is called the San Francisco Globe in the movie.,San Francisco Chronicle (901 Mission Street at 15th Street)
,Rocco's Corner (Columbus Street)
"Prudente's Italian Deli, which has since closed, is called ""Meats of the World"" in the film.",Prudente's Italian Deli (1462 Grant Ave at Union)
,Fog City Diner (1300 Battery Street)
,Edinburgh Castle (950 Geary Street)
,City Light Bookstore (261 Columbus Avenue)
,Café Picaro 3120 16th Street
Alcatraz Island was a military fort before it became a prison.,Alcatraz Island
,"Aladdin Terrace (off of Taylor Street, Between Filbert and Union)"
,305 Hugo Street
,"1462 Grant Avenue, at Union Street"
,Grid within Montgomery St; Davis St; Pacific St; Bush St
,California btwn Powell and Front
,Pine btwn Sansome and Front
,2nd St btwn Mission and Howard
,Areas around TransAmerica Building
,S.S. Jeremiah O'Brien
,Golden Gate Park
,"West Harbor, Marina District"
,North Beach
"Before the 1906 earthquake, the land on which Marina Green sits was a tidal marsh, and rubble from the earthquake was dumped on the site. However, the site was filled in to provide land for the 1915 Panama-Pacific Exhibition.","Marina Green, Marina District"
,Kearny & Pacific Streets
,Intersection of Grant & Fresno Streets (North Beach)
,Intersection of Columbus & Mason Streets
,Intersection of Columbus & Kearney Streets
,Golden Gate Park
"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Golden Gate Bridge
,"Bessie Charmichael Elementary School (375 Seventh Street, SOMA)"
,500 Block of Pacific Avenue (Chinatown)
"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Golden Gate Bridge
,War Memorial Opera House (401 Van Ness Avenue)
,Davies Symphony Hall (201 Van Ness Ave.)
,Sutter-Stockton Garage (444  Stockton)
,California St. from Jones St. to Mason St.
,Powell St. from California St. to Sutter St.
,Jackson St. from Mason St. to Powell St.
,Intersection of Columbus and Kearny
,Intersection of Clay St. and Walter U Lum Plc
,Mission St and 5th St
,21st and Collingswood St.
,Castro St. between 21st an Hill St
,21st and Sanchez St
,19th and Kansas St.
,
Lombard Street is not actually the most crooked in SF. That honor goes to Potrero Hill's Vermont Street between 22nd and 23rd.,Lombard Street
,The Tamalpais Building (1201 Greenwich Street at Hyde)
,Brocklebank Apartments (1000 Mason Street)
,2800 Scott Street
,"Near Point Lobos, El Camino Del Mar"
Mt. Davidson is highest point in San Francisco (938 feet).,Mt. Davidson
,"McDonald's Restaurant (701 3rd Street, SOMA)"
The Top of the Mark lounge and restaurant at the top of the hotel was formerly a penthouse suite.,"Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle, Nob Hill)"
,Hall of Justice (850 Bryant Street)
"Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.",Ferry Plaza
"In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.","Fairmont Hotel (950 Mason Street, Nob Hill)"
,Civic Center Plaza
"Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.",The Embarcadero/Ferry Building
,"Bowles Franklin Galleries (765 Beach Street, Fisherman's Wharf)"
,"Pier 38-40, The Embarcadero"
,Fisherman's Wharf pier near Chapel (Port Walk #19)
,Oasis Nightclub (298 11th St)
,Broadway and Taylor St Intersection
,Turk St between Lyon and Baker St
,Buena Vista East & Duboce; Buena Vista East & Haight
,Love Street Vintage (1506 Haight & adjacent Haight sidewalk_
,Alamo Square
,Stanyan & Belgrave
,Sansome (Washington to Bush) Pine (Davis to Kearny) Bush: Kearny to Ba
,Chinatown (Stockton @ Jackson & Jackson toward Grant
,Montgomery between California and Pine
,20th St and Church (3885 20th St)
,Duboce Park
,53 Potomac St
"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Golden Gate Bridge
,"On Board the SS President Cleveland, docked at Pier 50"
,Marquee Lofts (1000 Van Ness Avenue at Alice B. Toklas Place)
,Hotel Majestic (1500 Sutter Street)
"The building is called ""Jabe & Dunne Advertising Agency"" in the movie.","Foote, Cone & Belding (733 Front Street at Pacific)"
,Farley's Café (1315 18th Street Near Missouri)
,Citicorp Center (1 Sansome Street at Sutter)
,Christopher's Books (1400 18th Street)
Chrissy Field was originally an airfield for the Presidio Army Base.,Chrissy Field
,Blooms Saloon (18th Street between Missouri and Texas Streets)
"The two land plots that comprise the Park were used as a Jewish cemetery until 1894 when San Francisco prohibited all burials within city limits. The graves were moved to Colma, CA.",Mission Dolores Park (Mission District)
,Broadway Studios (435 Broadway at Montgomery Street)
,Regency Building (1290 Sutter Street)
,Powell Street
,Mission Street
,Golden Gate Park
,Bank of America (1455 Stockton Street)
,Macondray Ln and Taylor btwn Union and Green
,Lyon and Broadway
,"Hotel Jefferson, 440 Eddy St"
,Hyde St and Lombard St to Larkin and Lombard
,Market and Noe St
,Market and Church St
,Castro and 18th St
,Castro District
,Dolores Park
,"City Lights Books, 261 Columbus Ave"
,Montgomery and Vallejo
,Green btwn Jasper and Bannam
,Valencia btwn 16th and 17th St
,North Beach
,766 Vallejo St
,Grant and Green St
,Clarion Alley
,Valencia btwn Liberty and 21st St
,Mission District
"Helicopter flies over Utah St. from 16th, rises up before freeway",16th and Utah
,Van Ness between Fell and Lombard
,California between Leavenworth and Powell
,Mission at 1st and 2nd
,Market at Mason
,California at Larkin
,California at Jones
,Pine and Leavenworth
,Howard St. from Embarcadero to 11 St.
,Construction Site in front of 260 Stockton St. at Post St.
,California St. between Drumm St. and Kearny St.
,Market St. at Embarcadero area
,Pine St. between Market and Kearny
,Front St. between Market and Clay
,Union Square
,San Francisco - Oakland Bay Bridge
,"Mission St., Embarcadero, and Front between Clay and Market"
,Sutter Stockton Garage
,Bush St. at Stockton St.
,Powell St at Geary St
,1 Market St. Landmark Building
,Embarcadero between Pier 2 and Harrison
,Pier 14
,Pine St. between Market and Montgomery
,"Tosca Café (242 Columbus Avenue, North Beach)"
,766 Sutter Street
,Merchant Exchange (465 California Street at Leidesdorff)
"Washington Square Park is not actually a square, as it has 5 sides. North Beach is not a beach. The statue in the Park is Ben Franklin, not George Washington.",Washington Square Park (North Beach)
Garage roof serves as a heliport in the movie,Sutter-Stockton Garage (330 Sutter Street at Stockton)
"Opened in 1914, the Stockton Tunnel was built to provide North Beach residents access to the thriving downtown area.",Stockton Tunnel (Stockton Street at Sutter Street)
"The Steinhart Aquarium is home to over 38,000 animals, which represent more than 900 species.","Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)"
"Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials.","St. Peter & Paul's Church (666 Filbert Street, Washington Square)"
SF Cable Cars are the only moving National Historical Landmark.,Roof of Cable Car (California at Front Street)
,Pacific Stock Exchange (301 Pine Street at Sansome)
,Nina M. Designs (52 2nd Street at Jessie)
,Moose's Restaurant (1652 Stockton)
,Mama's Restaurant (1701 Stockton)
,Danilo's Bakery (Green Street & Bannam Place)
,Columbus Avenue at Green & Stockton
"The pet shop featured in the film does not exist, but was based on the now-closed Robison's House of Pets formerly located on Maiden Lane.",Powell and Geary Streets (Union Square)
"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Golden Gate Bridge
,The Embarcadero
"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Golden Gate Bridge
,
"The hotel was originally supposed to be named the Crocker Hotel, after Charles Founder the railroad magnate who founded it. However, the hotel took the name the St. Francis after one of the earliest Gold Rush hotels.","Westin St. Francis Hotel (335 Powell Street, Union Square)"
,Pier 39
"Founded in 1853, 3 years after California joined the United States, the Academy was originally named the California Academy of Natural Sciences and was the first institution of its kind in the United States.",California Academy of Sciences (Golden Gate Park)
,"American Roofing Co. Building (297 Kansas Street, Potrero Hill)"
The park was originally a rock quarry and served as a campground for many survivors of the 1906 earthquake. The site was converted to a park in 1910.,Alta Plaza Park (Steiner Street)
"A partially-above ground parking structure near the building made it necessary for architects to make the Alcoa Building's diagonal bracing visible, instead of placing it inside and drastically reducing the amount usable interior space.",Alcoa Building (1 Maritime Plaza)
,Alamo Square (Hayes Valley)
"The hotel was originally supposed to be named the Crocker Hotel, after Charles Founder the railroad magnate who founded it. However, the hotel took the name the St. Francis after one of the earliest Gold Rush hotels.","Westin St. Francis Hotel (335 Powell Street, Union Square)"
"During the Civil War, pro-Union rallies were held in the Square, and thus the area was called ""Union Square"".",Union Square
,"Saks Fifth Avenue (384 Post Street, Union Square)"
,One Embarcadero Center (Financial District)
In the film the City of Paris Department Store is featured. That establishment was located where Neiman Marcus stands today,"Neiman Marcus (150 Stockton Street, Union Square)"
,Financial District
,"Cathedral Hill Hotel (1101 Van Ness Avenue, Civic Center)"
"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Golden Gate Bridge
,San Francisco Drydock (The Dogpatch)
"Washington Square Park is not actually a square, as it has 5 sides. North Beach is not a beach. The statue in the Park is Ben Franklin, not George Washington.",Washington Square Park (North Beach)
,One Thousand Powell Apartments (1000 Powell Street)
,"The Cannery (281 Leavenworth Street, Fisherman's Wharf)"
,Portsmouth Square (Chinatown)
,Pierce St. & Golden Gate Avenue (Hayes Valley)
,Pierce & California Streets (Pacific Heights)
,Pier 3 (The Embarcadero)
,New Asia Restaurant (772 Pacific Avenue at Grant)
,"Nam Yuen Restaurant (740 Washington Street, Chinatown)"
,"Mirant Energy, LLC (1301 Illinois Street, The Dogpatch)"
,McAllister & Scott Streets (Hayes Valley)
,"KGO-TV ABC7 TV Studios (900 Front Street, Waterfront Historic District"
,Hall of Justice (850 Bryant Street)
,"San Francisco National Military Cemetery (Lincoln Blvd., The Presidio,"
,"Silver Restaurant (737 Washington Street, Chinatown)"
,Fremont Street Exit of Bay Bridge
,Folsom & Essex Streets
,"Eber Electronics (2355 Market Street, Castro)"
,Clementina & Sumner Streets
,Carl & Cole Streets (Cole Valley)
,710 Steiner Street (Hayes Valley)
,550 El Camino Del Mar (Seacliff)
,23rd & Iowa Streets (Dogpatch)
,22nd Bet. Carolina & Rhode Island Streets (Potrero Hill)
,22nd & Wisconsin Streets (Potrero Hill)
,20th & De Haro Streets (Potrero Hill)
,1954 Mason Street (North Beach)
SF General Hospital is the only Level I Trauma Center serving San Francisco and northern San Mateo County.,"San Francisco General Hospital Medical Center (1001 Potrero Avenue, Po"
,Victoria Theatre
,SPECS' Twelve Adler Museum Café
,Ocean Beach at Point Lobos
,700 Kansas St.
,Presidio Branch Library
,The Royal Oak
,Tonic
,Polk and Northpoint St.
,770 Haight St.
,Tank Hill Park
,Hamburger Haven
,Higher Grounds Coffee House
,304 Lily St.
,The Magazine at 920 Larkin
,Geary St. from Polk to Larkin
,Yerba Buena Island
,
,
,Sutter & Webster Streets
,Hall of Justice
"The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.",Coit Tower
"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",City Hall
,Balmy Street (Mission District)
Alcatraz Island was a military fort before it became a prison.,Alcatraz Island
,24th Street Mini Park (Mission District)
,23rd & Capp Streets (Mission District)
"This is SF's only drawbridge, and was named after Francis Joseph ""Lefty"" O'Doul, a local baseball hero.","Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin)"
"Then Vice President Richard Nixon threw out the first pitch when Candlestick opened in 1960. On August 29, 1966, The Beatles played their last concert for paying fans at Candlestick Park.",Candlestick Park (602 Jamestown Ave.)
,
,Merchant Exchange Building (465 California Street)
,Washington Street & Waverly Place (Chinatown)
